OFTIC,CNAME,PENDS,MEASURE,PDICITY,ANNDATS_x,VALUE,Quarter,Year,ALYSNAM,VALUE_ANALYST,AMASKCD,ANNDATS_y
A,AGILENT,2015-01-31,BPS,QTR,2015-02-17,12.6101,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,BPS,QTR,2015-02-17,12.6101,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,BPS,QTR,2015-02-17,12.6101,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,BPS,QTR,2015-02-17,12.6101,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,BPS,QTR,2015-02-17,12.6101,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,BPS,QTR,2015-02-17,12.6101,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,BPS,QTR,2015-02-17,12.6101,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,BPS,QTR,2015-02-17,12.6101,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,BPS,QTR,2015-02-17,12.6101,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,CPS,QTR,2015-02-17,-0.06,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,CPS,QTR,2015-02-17,-0.06,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,CPS,QTR,2015-02-17,-0.06,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,CPS,QTR,2015-02-17,-0.06,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,CPS,QTR,2015-02-17,-0.06,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,CPS,QTR,2015-02-17,-0.06,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,CPS,QTR,2015-02-17,-0.06,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,CPS,QTR,2015-02-17,-0.06,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,CPS,QTR,2015-02-17,-0.06,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,CPX,QTR,2015-02-17,32.0,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,CPX,QTR,2015-02-17,32.0,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,CPX,QTR,2015-02-17,32.0,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,CPX,QTR,2015-02-17,32.0,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,CPX,QTR,2015-02-17,32.0,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,CPX,QTR,2015-02-17,32.0,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,CPX,QTR,2015-02-17,32.0,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,CPX,QTR,2015-02-17,32.0,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,CPX,QTR,2015-02-17,32.0,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,DPS,QTR,2015-02-17,0.1,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,DPS,QTR,2015-02-17,0.1,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,DPS,QTR,2015-02-17,0.1,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,DPS,QTR,2015-02-17,0.1,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,DPS,QTR,2015-02-17,0.1,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,DPS,QTR,2015-02-17,0.1,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,DPS,QTR,2015-02-17,0.1,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,DPS,QTR,2015-02-17,0.1,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,DPS,QTR,2015-02-17,0.1,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,EBG,QTR,2015-02-17,76.5611111111111,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,EBG,QTR,2015-02-17,76.5611111111111,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,EBG,QTR,2015-02-17,76.5611111111111,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,EBG,QTR,2015-02-17,76.5611111111111,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,EBG,QTR,2015-02-17,76.5611111111111,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,EBG,QTR,2015-02-17,76.5611111111111,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,EBG,QTR,2015-02-17,76.5611111111111,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,EBG,QTR,2015-02-17,76.5611111111111,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,EBG,QTR,2015-02-17,76.5611111111111,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,EBI,QTR,2015-02-17,172.0,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,EBI,QTR,2015-02-17,172.0,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,EBI,QTR,2015-02-17,172.0,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,EBI,QTR,2015-02-17,172.0,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,EBI,QTR,2015-02-17,172.0,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,EBI,QTR,2015-02-17,172.0,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,EBI,QTR,2015-02-17,172.0,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,EBI,QTR,2015-02-17,172.0,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,EBI,QTR,2015-02-17,172.0,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,EBS,QTR,2015-02-17,0.58,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,EBS,QTR,2015-02-17,0.58,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,EBS,QTR,2015-02-17,0.58,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,EBS,QTR,2015-02-17,0.58,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,EBS,QTR,2015-02-17,0.58,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,EBS,QTR,2015-02-17,0.58,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,EBS,QTR,2015-02-17,0.58,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,EBS,QTR,2015-02-17,0.58,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,EBS,QTR,2015-02-17,0.58,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,EBT,QTR,2015-02-17,197.0,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,EBT,QTR,2015-02-17,197.0,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,EBT,QTR,2015-02-17,197.0,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,EBT,QTR,2015-02-17,197.0,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,EBT,QTR,2015-02-17,197.0,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,EBT,QTR,2015-02-17,197.0,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,EBT,QTR,2015-02-17,197.0,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,EBT,QTR,2015-02-17,197.0,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,EBT,QTR,2015-02-17,197.0,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,EPS,QTR,2015-02-17,0.41,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,EPS,QTR,2015-02-17,0.41,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,EPS,QTR,2015-02-17,0.41,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,EPS,QTR,2015-02-17,0.41,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,EPS,QTR,2015-02-17,0.41,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,EPS,QTR,2015-02-17,0.41,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,EPS,QTR,2015-02-17,0.41,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,EPS,QTR,2015-02-17,0.41,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,EPS,QTR,2015-02-17,0.41,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,GPS,QTR,2015-02-17,0.21,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,GPS,QTR,2015-02-17,0.21,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,GPS,QTR,2015-02-17,0.21,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,GPS,QTR,2015-02-17,0.21,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,GPS,QTR,2015-02-17,0.21,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,GPS,QTR,2015-02-17,0.21,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,GPS,QTR,2015-02-17,0.21,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,GPS,QTR,2015-02-17,0.21,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,GPS,QTR,2015-02-17,0.21,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,GRM,QTR,2015-02-17,50.0,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,GRM,QTR,2015-02-17,50.0,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,GRM,QTR,2015-02-17,50.0,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,GRM,QTR,2015-02-17,50.0,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,GRM,QTR,2015-02-17,50.0,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,GRM,QTR,2015-02-17,50.0,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,GRM,QTR,2015-02-17,50.0,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,GRM,QTR,2015-02-17,50.0,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,GRM,QTR,2015-02-17,50.0,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,NAV,QTR,2015-02-17,4240.0,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,NAV,QTR,2015-02-17,4240.0,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,NAV,QTR,2015-02-17,4240.0,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,NAV,QTR,2015-02-17,4240.0,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,NAV,QTR,2015-02-17,4240.0,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,NAV,QTR,2015-02-17,4240.0,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,NAV,QTR,2015-02-17,4240.0,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,NAV,QTR,2015-02-17,4240.0,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,NAV,QTR,2015-02-17,4240.0,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,NDT,QTR,2015-02-17,3714.0,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,NDT,QTR,2015-02-17,3714.0,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,NDT,QTR,2015-02-17,3714.0,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,NDT,QTR,2015-02-17,3714.0,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,NDT,QTR,2015-02-17,3714.0,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,NDT,QTR,2015-02-17,3714.0,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,NDT,QTR,2015-02-17,3714.0,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,NDT,QTR,2015-02-17,3714.0,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,NDT,QTR,2015-02-17,3714.0,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,NET,QTR,2015-02-17,139.0,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,NET,QTR,2015-02-17,139.0,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,NET,QTR,2015-02-17,139.0,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,NET,QTR,2015-02-17,139.0,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,NET,QTR,2015-02-17,139.0,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,NET,QTR,2015-02-17,139.0,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,NET,QTR,2015-02-17,139.0,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,NET,QTR,2015-02-17,139.0,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,NET,QTR,2015-02-17,139.0,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,PRE,QTR,2015-02-17,173.0,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,PRE,QTR,2015-02-17,173.0,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,PRE,QTR,2015-02-17,173.0,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,PRE,QTR,2015-02-17,173.0,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,PRE,QTR,2015-02-17,173.0,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,PRE,QTR,2015-02-17,173.0,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,PRE,QTR,2015-02-17,173.0,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,PRE,QTR,2015-02-17,173.0,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,PRE,QTR,2015-02-17,173.0,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,ROE,QTR,2015-02-17,11.66,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,ROE,QTR,2015-02-17,11.66,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,ROE,QTR,2015-02-17,11.66,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,ROE,QTR,2015-02-17,11.66,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,ROE,QTR,2015-02-17,11.66,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,ROE,QTR,2015-02-17,11.66,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,ROE,QTR,2015-02-17,11.66,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,ROE,QTR,2015-02-17,11.66,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,ROE,QTR,2015-02-17,11.66,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-01-31,SAL,QTR,2015-02-17,1026.0,2015Q1,2015,MEEHAN             J,44.0,180911,2015-01-06
A,AGILENT,2015-01-31,SAL,QTR,2015-02-17,1026.0,2015Q1,2015,COUILLARD          B,47.0,138700,2015-01-09
A,AGILENT,2015-01-31,SAL,QTR,2015-02-17,1026.0,2015Q1,2015,DE BRUIN           D,44.0,86687,2015-01-22
A,AGILENT,2015-01-31,SAL,QTR,2015-02-17,1026.0,2015Q1,2015,RO                 I,39.0,99673,2015-02-17
A,AGILENT,2015-01-31,SAL,QTR,2015-02-17,1026.0,2015Q1,2015,DE BRUIN           D,45.0,86687,2015-02-17
A,AGILENT,2015-01-31,SAL,QTR,2015-02-17,1026.0,2015Q1,2015,LEONARD            D,47.0,109728,2015-02-18
A,AGILENT,2015-01-31,SAL,QTR,2015-02-17,1026.0,2015Q1,2015,LEONE              D,52.0,137206,2015-02-25
A,AGILENT,2015-01-31,SAL,QTR,2015-02-17,1026.0,2015Q1,2015,RO                 I,40.0,99673,2015-03-19
A,AGILENT,2015-01-31,SAL,QTR,2015-02-17,1026.0,2015Q1,2015,MUKEN              R,45.0,112085,2015-03-20
A,AGILENT,2015-04-30,BPS,QTR,2015-05-18,12.48425,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,BPS,QTR,2015-05-18,12.48425,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,BPS,QTR,2015-05-18,12.48425,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,BPS,QTR,2015-05-18,12.48425,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
A,AGILENT,2015-04-30,BPS,QTR,2015-05-18,12.48425,2015Q2,2015,DE BRUIN           D,46.0,86687,2015-05-28
A,AGILENT,2015-04-30,BPS,QTR,2015-05-18,12.48425,2015Q2,2015,COUILLARD          B,48.0,138700,2015-05-29
A,AGILENT,2015-04-30,CPS,QTR,2015-05-18,0.54,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,CPS,QTR,2015-05-18,0.54,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,CPS,QTR,2015-05-18,0.54,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,CPS,QTR,2015-05-18,0.54,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
A,AGILENT,2015-04-30,CPS,QTR,2015-05-18,0.54,2015Q2,2015,DE BRUIN           D,46.0,86687,2015-05-28
A,AGILENT,2015-04-30,CPS,QTR,2015-05-18,0.54,2015Q2,2015,COUILLARD          B,48.0,138700,2015-05-29
A,AGILENT,2015-04-30,CPX,QTR,2015-05-18,20.0,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,CPX,QTR,2015-05-18,20.0,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,CPX,QTR,2015-05-18,20.0,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,CPX,QTR,2015-05-18,20.0,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
A,AGILENT,2015-04-30,CPX,QTR,2015-05-18,20.0,2015Q2,2015,DE BRUIN           D,46.0,86687,2015-05-28
A,AGILENT,2015-04-30,CPX,QTR,2015-05-18,20.0,2015Q2,2015,COUILLARD          B,48.0,138700,2015-05-29
A,AGILENT,2015-04-30,DPS,QTR,2015-05-18,0.1,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,DPS,QTR,2015-05-18,0.1,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,DPS,QTR,2015-05-18,0.1,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,DPS,QTR,2015-05-18,0.1,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
A,AGILENT,2015-04-30,DPS,QTR,2015-05-18,0.1,2015Q2,2015,DE BRUIN           D,46.0,86687,2015-05-28
A,AGILENT,2015-04-30,DPS,QTR,2015-05-18,0.1,2015Q2,2015,COUILLARD          B,48.0,138700,2015-05-29
A,AGILENT,2015-04-30,EBG,QTR,2015-05-18,95.64888888888888,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,EBG,QTR,2015-05-18,95.64888888888888,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,EBG,QTR,2015-05-18,95.64888888888888,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,EBG,QTR,2015-05-18,95.64888888888888,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
A,AGILENT,2015-04-30,EBG,QTR,2015-05-18,95.64888888888888,2015Q2,2015,DE BRUIN           D,46.0,86687,2015-05-28
A,AGILENT,2015-04-30,EBG,QTR,2015-05-18,95.64888888888888,2015Q2,2015,COUILLARD          B,48.0,138700,2015-05-29
A,AGILENT,2015-04-30,EBI,QTR,2015-05-18,169.0,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,EBI,QTR,2015-05-18,169.0,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,EBI,QTR,2015-05-18,169.0,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,EBI,QTR,2015-05-18,169.0,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
A,AGILENT,2015-04-30,EBI,QTR,2015-05-18,169.0,2015Q2,2015,DE BRUIN           D,46.0,86687,2015-05-28
A,AGILENT,2015-04-30,EBI,QTR,2015-05-18,169.0,2015Q2,2015,COUILLARD          B,48.0,138700,2015-05-29
A,AGILENT,2015-04-30,EBS,QTR,2015-05-18,0.625,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,EBS,QTR,2015-05-18,0.625,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,EBS,QTR,2015-05-18,0.625,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,EBS,QTR,2015-05-18,0.625,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
A,AGILENT,2015-04-30,EBS,QTR,2015-05-18,0.625,2015Q2,2015,DE BRUIN           D,46.0,86687,2015-05-28
A,AGILENT,2015-04-30,EBS,QTR,2015-05-18,0.625,2015Q2,2015,COUILLARD          B,48.0,138700,2015-05-29
A,AGILENT,2015-04-30,EBT,QTR,2015-05-18,194.0,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,EBT,QTR,2015-05-18,194.0,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,EBT,QTR,2015-05-18,194.0,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,EBT,QTR,2015-05-18,194.0,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
A,AGILENT,2015-04-30,EBT,QTR,2015-05-18,194.0,2015Q2,2015,DE BRUIN           D,46.0,86687,2015-05-28
A,AGILENT,2015-04-30,EBT,QTR,2015-05-18,194.0,2015Q2,2015,COUILLARD          B,48.0,138700,2015-05-29
A,AGILENT,2015-04-30,EPS,QTR,2015-05-18,0.38,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,EPS,QTR,2015-05-18,0.38,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,EPS,QTR,2015-05-18,0.38,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,EPS,QTR,2015-05-18,0.38,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
A,AGILENT,2015-04-30,EPS,QTR,2015-05-18,0.38,2015Q2,2015,DE BRUIN           D,46.0,86687,2015-05-28
A,AGILENT,2015-04-30,EPS,QTR,2015-05-18,0.38,2015Q2,2015,COUILLARD          B,48.0,138700,2015-05-29
A,AGILENT,2015-04-30,GPS,QTR,2015-05-18,0.25,2015Q2,2015,BEUCHAW            S,47.0,147830,2015-04-10
A,AGILENT,2015-04-30,GPS,QTR,2015-05-18,0.25,2015Q2,2015,MUKEN              R,46.0,112085,2015-04-13
A,AGILENT,2015-04-30,GPS,QTR,2015-05-18,0.25,2015Q2,2015,PETERSON           T,48.0,107607,2015-04-21
A,AGILENT,2015-04-30,GPS,QTR,2015-05-18,0.25,2015Q2,2015,MUKEN              R,45.0,112085,2015-05-18
